!Series_title	"The fibrosis-targeted collagen/integrins gene profile predicts risk of metastasis in pulmonary neuroendocrine neoplasms"
!Sample_title	"Sample 1 - lung tumor tissue (test)"	"Sample 2 - lung tumor tissue (test)"	"Sample 3 - lung tumor tissue (test)"	"Sample 4 - lung tumor tissue (test)"	"Sample 5 - lung tumor tissue (test)"	"Sample 6 - lung tumor tissue (test)"	"Sample 7 - lung tumor tissue (test)"	"Sample 8 - lung tumor tissue (test)"	"Sample 9 - lung tumor tissue (test)"	"Sample 10 - lung tumor tissue (test)"	"Sample 11 - lung tumor tissue (test)"	"Sample 12 - lung tumor tissue (test)"	"Sample 13 - lung tumor tissue (test)"	"Sample 14 - lung tumor tissue (test)"	"Sample 15 - lung tumor tissue (test)"	"Sample 16 - lung tumor tissue (test)"	"Sample 17 - lung tumor tissue (test)"	"Sample 18 - lung tumor tissue (test)"	"Sample 19 - lung tumor tissue (test)"	"Sample 20 - lung tumor tissue (test)"	"Sample 21 - lung tumor tissue (test)"	"Sample 22 - lung tumor tissue (test)"	"Sample 23 - lung tumor tissue (test)"	"Sample 24 - lung tumor tissue (test)"	"Sample 1 - lung normal tissue (control)"	"Sample 2 - lung normal tissue (control)"	"Sample 3 - lung normal tissue (control)"	"Sample 4 - lung normal tissue (control)"	"Sample 5 - lung normal tissue (control)"	"Sample 6 - lung normal tissue (control)"	"Sample 7 - lung normal tissue (control)"	"Sample 8 - lung normal tissue (control)"	"Sample 9 - lung normal tissue (control)"	"Sample 10 - lung normal tissue (control)"	"Sample 11 - lung normal tissue (control)"	"Sample 12 - lung normal tissue (control)"	"Sample 13 - lung normal tissue (control)"	"Sample 14 - lung normal tissue (control)"	"Sample 15 - lung normal tissue (control)"	"Sample 16 - lung normal tissue (control)"	"Sample 17 - lung normal tissue (control)"	"Sample 18 - lung normal tissue (control)"	"Sample 19 - lung normal tissue (control)"	"Sample 20 - lung normal tissue (control)"	"Sample 21 - lung normal tissue (control)"	"Sample 22 - lung normal tissue (control)"	"Sample 23 - lung normal tissue (control)"	"Sample 24 - lung normal tissue (control)"
!Sample_geo_accession	"GSM5501317"	"GSM5501318"	"GSM5501319"	"GSM5501320"	"GSM5501321"	"GSM5501322"	"GSM5501323"	"GSM5501324"	"GSM5501325"	"GSM5501326"	"GSM5501327"	"GSM5501328"	"GSM5501329"	"GSM5501330"	"GSM5501331"	"GSM5501332"	"GSM5501333"	"GSM5501334"	"GSM5501335"	"GSM5501336"	"GSM5501337"	"GSM5501338"	"GSM5501339"	"GSM5501340"	"GSM5501341"	"GSM5501342"	"GSM5501343"	"GSM5501344"	"GSM5501345"	"GSM5501346"	"GSM5501347"	"GSM5501348"	"GSM5501349"	"GSM5501350"	"GSM5501351"	"GSM5501352"	"GSM5501353"	"GSM5501354"	"GSM5501355"	"GSM5501356"	"GSM5501357"	"GSM5501358"	"GSM5501359"	"GSM5501360"	"GSM5501361"	"GSM5501362"	"GSM5501363"	"GSM5501364"
!Sample_status	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"	"Public on Aug 04 2021"
!Sample_submission_date	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"	"Aug 03 2021"
!Sample_last_update_date	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"	"Aug 04 2021"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (SCLC)"	"mRNA of tumor tissue (LCNEC)"	"mRNA of tumor tissue (LCNEC)"	"mRNA of tumor tissue (LCNEC)"	"mRNA of tumor tissue (LCNEC)"	"mRNA of tumor tissue (AC)"	"mRNA of tumor tissue (AC)"	"mRNA of tumor tissue (AC)"	"mRNA of tumor tissue (AC)"	"mRNA of tumor tissue (AC)"	"mRNA of tumor tissue (TC)"	"mRNA of tumor tissue (TC)"	"mRNA of tumor tissue (TC)"	"mRNA of tumor tissue (TC)"	"mRNA of tumor tissue (TC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"	"mRNA of Normal lung tissue (SCLC)"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: lung tumor"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"	"tissue: normal lung"
!Sample_characteristics_ch1	"gender: Female"	"gender: Female"	"gender: Female"	"gender: Female"	"gender: Male"	"gender: Male"	"gender: Male"	"gender: Female"	"gender: Female"	"gender: Female"	"gender: Male"	"gender: Male"	"gender: Female"	"gender: Female"	"gender: Male"	"gender: Female"	"gender: Male"	"gender: Male"	"gender: Female"	"gender: Female"	"gender: Female"	"gender: Male"	"gender: Male"	"gender: Male"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"	"gender: Not applicable"
!Sample_characteristics_ch1	"age: 51"	"age: 44"	"age: 29"	"age: 25"	"age: 64"	"age: 55"	"age: 57"	"age: 65"	"age: 56"	"age: 63"	"age: 70"	"age: 58"	"age: 39"	"age: 70"	"age: 63"	"age: 62"	"age: 51"	"age: 56"	"age: 25"	"age: 54"	"age: 19"	"age: 50"	"age: 63"	"age: 74"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"	"age: Not applicable"
!Sample_characteristics_ch1	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Former"	"tobacco history: Smoker"	"tobacco history: Smoker"	"tobacco history: Former"	"tobacco history: Non-smoker"	"tobacco history: Non-smoker"	"tobacco history: Non-smoker"	"tobacco history: Non-smoker"	"tobacco history: Smoker"	"tobacco history: Non-smoker"	"tobacco history: Non-smoker"	"tobacco history: Non-smoker"	"tobacco history: Non-smoker"	"tobacco history: Smoker"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"	"tobacco history: Not applicable"
!Sample_characteristics_ch1	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Small cell lung carcinoma"	"histological subtype: Large cell neuroendocrine carcinoma"	"histological subtype: Large cell neuroendocrine carcinoma"	"histological subtype: Large cell neuroendocrine carcinoma"	"histological subtype: Large cell neuroendocrine carcinoma"	"histological subtype: Atypical carcinoid"	"histological subtype: Atypical carcinoid"	"histological subtype: Atypical carcinoid"	"histological subtype: Atypical carcinoid"	"histological subtype: Atypical carcinoid"	"histological subtype: Typical carcinoid"	"histological subtype: Typical carcinoid"	"histological subtype: Typical carcinoid"	"histological subtype: Typical carcinoid"	"histological subtype: Typical carcinoid"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"	"histological subtype: SCLC"
!Sample_characteristics_ch1	"pathological stage: IIIB"	"pathological stage: IV"	"pathological stage: IV"	"pathological stage: IV"	"pathological stage: IIIB"	"pathological stage: IIIA"	"pathological stage: IV"	"pathological stage: IIIB"	"pathological stage: IV"	"pathological stage: IV"	"pathological stage: IV"	"pathological stage: IIIA"	"pathological stage: IIIB"	"pathological stage: IB"	"pathological stage: Lack information"	"pathological stage: IA"	"pathological stage: IIB"	"pathological stage: IA"	"pathological stage: Lack information"	"pathological stage: IIB"	"pathological stage: IIIB"	"pathological stage: IA"	"pathological stage: Lack information"	"pathological stage: Lack information"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"	"pathological stage: Not applicable"
!Sample_characteristics_ch1	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Dead"	"status: Alive"	"status: Dead"	"status: Alive"	"status: Alive"	"status: Alive"	"status: Alive"	"status: Alive"	"status: Alive"	"status: Alive"	"status: Alive"	"status: Alive"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"	"status: Not applicable"
!Sample_characteristics_ch1	"survival: 48"	"survival: 1"	"survival: 7"	"survival: 1"	"survival: 21"	"survival: 2"	"survival: 12"	"survival: 2"	"survival: 5"	"survival: 11"	"survival: 8"	"survival: 8"	"survival: 6"	"survival: 36"	"survival: 4"	"survival: 60"	"survival: 36"	"survival: 72"	"survival: 48"	"survival: 8"	"survival: 168"	"survival: 60"	"survival: 36"	"survival: 72"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"	"survival: Not applicable"
!Sample_molecule_ch1	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"
